epoch,train_loss,test_mae
1,251.78018152146112,7.460711449384689
2,109.33750794425843,7.500155210494995
3,104.73024398561508,7.4465197920799255
4,101.10868375263517,7.261853218078613
5,98.79131971086774,7.257037103176117
6,97.41834283253503,7.306804269552231
7,96.2628657023112,7.089466035366058
8,95.3335211617606,7.117172211408615
9,93.56465161035932,7.015118271112442
10,91.45188831147694,6.948045581579208
11,89.77027105906653,7.063013672828674
12,88.62369379921564,6.919966161251068
13,86.61799621582031,7.0334727466106415
14,84.7903806898329,6.73518505692482
15,81.97147950671967,6.872918963432312
16,79.0765877375527,6.550738990306854
17,76.2061261373853,6.571809768676758
18,74.22272346133278,6.378356248140335
19,72.06074620806982,6.313377350568771
20,70.05616863190181,6.238429546356201
21,68.21847304086836,6.162878900766373
22,66.11241767519996,6.12735041975975
23,64.7106570894756,6.043582111597061
24,62.84570778740777,6.03145557641983
25,61.422355591304715,5.968338131904602
26,59.95311833941747,5.888448476791382
27,58.8595817808121,5.802136063575745
28,57.81216376168387,5.770187556743622
29,56.61377703954303,5.697029411792755
30,55.71730519854833,5.683741360902786
31,54.83390420580667,5.657331615686417
32,54.28336140466115,5.563238084316254
33,53.13317598615374,5.557531833648682
34,52.835833776564826,5.5306582152843475
35,52.21827286008804,5.479108572006226
36,51.316783057318794,5.438957512378693
37,50.908006819467694,5.408125251531601
38,50.52933023846339,5.371947199106216
39,49.77809548756433,5.412888079881668
40,49.68699167645167,5.358376234769821
41,48.794732956659224,5.330215364694595
42,48.51490614149306,5.307561427354813
43,48.2193855406746,5.266077071428299
44,47.34142255026197,5.283736675977707
45,47.2510134379069,5.344742178916931
46,47.27334836929563,5.185076475143433
47,46.42313857305618,5.216933846473694
48,46.253468528626456,5.188496351242065
49,45.531708005874876,5.144944459199905
50,45.41952708410838,5.1156571209430695
51,44.723442017085965,5.103724271059036
52,44.678826286679225,5.080487012863159
53,44.14200876629542,5.086607187986374
54,43.80369634476919,5.079434007406235
55,43.87576923673115,5.028373271226883
56,43.54646379985507,5.001275449991226
57,42.89592676314096,5.017819792032242
58,42.609527830093626,4.974043548107147
59,42.18702685643756,4.944975256919861
60,41.54526755923317,4.939975142478943
61,41.56863736349439,4.943500250577927
62,41.46940691508944,4.9229656755924225
63,40.648276828584216,4.875318020582199
64,40.54939536442832,4.860216647386551
65,40.169231808374796,4.8972936272621155
66,39.7964829944429,4.903789222240448
67,39.69311626373776,4.8821991086006165
68,39.34773953755697,4.81169393658638
69,39.24305431426517,4.775000125169754
70,38.75192663404677,4.833250015974045
71,38.537630656408886,4.743629068136215
72,38.30181712195987,4.794348657131195
73,38.02944171239459,4.7265819907188416
74,38.07936265733507,4.719572931528091
75,37.76995649791899,4.675246298313141
76,37.64039533100431,4.686641424894333
77,37.253906976609,4.968290597200394
78,37.51007585676889,4.728015273809433
79,37.04603688679044,4.68964484333992
80,36.45598547799246,4.737624496221542
81,36.276134702894424,4.653976678848267
82,36.27766945248558,4.619423270225525
83,36.157417600117036,4.680674612522125
84,36.33212952386765,4.576294392347336
85,35.740328985547265,4.575691282749176
86,35.4501835051037,4.565697759389877
87,35.29103085351369,4.616035521030426
88,35.197980063302175,4.540115982294083
89,35.10626650613452,4.554237246513367
90,34.765917127094575,4.560314238071442
91,34.67482654632084,4.57884293794632
92,34.52799040173728,4.525917232036591
93,34.619802353874086,4.494439989328384
94,34.1517588297526,4.524137198925018
95,34.20628547668457,4.556981444358826
96,34.14866299099393,4.517527461051941
97,33.88769921802339,4.557737410068512
98,33.87775197104802,4.562701165676117
99,33.7814214797247,4.512045621871948
100,33.55016093783908,4.575397282838821
